slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۳۳۰,۱۴۰۰,۶۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۷٬۸۷۹٬۰۰۰ تومان,۱۰ از ۱۲,۴,1,1,1,1,,,gYBmRGD2
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۳۰۰,۱۳۸۱,۲۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۰٬۰۰۰٬۰۰۰ تومان,۵,۴,1,1,1,1,,,gYtBZWRG
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۵۵,۱۳۸۵,۱۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۳٬۸۷۱٬۰۰۰ تومان,۳ از ۶,۳,1,1,1,1,,,gYAi9gyc
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۶۹,۱۳۸۸,۱۶٬۶۶۰٬۰۰۰٬۰۰۰ تومان,۹۸٬۵۸۰٬۰۰۰ تومان,۵ از ۵,۳,1,1,1,1,,,gY2Bomxo
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۲۵۵,۱۴۰۰,۴۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۸۶٬۲۷۵٬۰۰۰ تومان,۵ از ۱۲,۳,1,1,1,1,,,gYBaxQN5
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۶۸,۱۳۹۹,۱۷٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۵٬۹۵۲٬۰۰۰ تومان,۶ از ۶,۳,1,1,1,1,,,gYBWxWwa
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۲۳۰,۱۳۹۸,توافقی,,۵,۳,1,1,1,1,,,gY8FKzIn
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۰۰,۱۳۹۱,توافقی,,۲,۲,1,1,1,1,,,gYBWRObW
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۳۰۰,۱۴۰۰,توافقی,,۱۱,۴,1,1,1,1,,,gYBSRtZn
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۲۵,۱۴۰۰,۱۴٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۱۱۴٬۰۰۰٬۰۰۰ تومان,۵ از ۵,۳,1,1,1,1,,,gY9hy2x9
apartment-sell,آپارتمان,تهران,فرمانیه,tehran,۱۱۵,۱۳۹۱,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,۳ از ۷,۲,1,1,1,1,,,gY9Ri4kF
